
LIGAS ENCONTRADAS
======================================================================
ID: 389 | Premier League | País: Kazakhstan
ID: 276 | FKF Premier League | País: Kenya
ID: 121 | DBU Pokalen | País: Denmark
ID: 379 | Ligue Haïtienne | País: Haiti
ID: 364 | 1. Liga | País: Latvia
ID: 365 | Virsliga | País: Latvia
ID: 361 | 1 Lyga | País: Lithuania
ID: 362 | A Lyga | País: Lithuania
ID: 528 | Community Shield | País: England
ID: 72 | Serie B | País: Brazil
ID: 75 | Serie C | País: Brazil
ID: 76 | Serie D | País: Brazil
ID: 585 | Premier League | País: Uganda
ID: 598 | Première Division | País: Mali
ID: 253 | Major League Soccer | País: USA
ID: 257 | US Open Cup | País: USA
ID: 268 | Primera División | País: Uruguay
ID: 270 | Primera División - Clausura | País: Uruguay
ID: 369 | Super League | País: Uzbekistan
ID: 296 | Thai League 1 | País: Thailand
ID: 297 | Thai League 2 | País: Thailand
ID: 505 | League Cup | País: Singapore
ID: 421 | Division di Honor | País: Aruba
ID: 420 | Cup | País: Azerbaijan
ID: 298 | FA Cup | País: Thailand
ID: 28 | SAFF Championship | País: World
ID: 376 | National Football League | País: Fiji
ID: 64 | Feminine Division 1 | País: France
ID: 3 | UEFA Europa League | País: World
ID: 327 | Erovnuli Liga | País: Georgia
ID: 378 | Ligue 1 | País: Guinea
ID: 807 | AFC Challenge Cup | País: World
ID: 19 | African Nations Championship | País: World
ID: 24 | ASEAN Championship | País: World
ID: 37 | World Cup - Qualification Intercontinental Play-offs | País: World
ID: 520 | Acreano | País: Brazil
ID: 547 | Super Cup | País: Italy
ID: 122 | 2. Division | País: Denmark
ID: 123 | 2nd Division - Group 2 | País: Denmark
ID: 567 | Ligi kuu Bara | País: Tanzania
ID: 255 | USL Championship | País: USA
ID: 128 | Liga Profesional Argentina | País: Argentina
ID: 6 | Africa Cup of Nations | País: World
ID: 9 | Copa America | País: World
ID: 363 | Premier League | País: Ethiopia
ID: 519 | Super Cup | País: Belgium
ID: 527 | Super Cup | País: Chile
ID: 183 | League One | País: Scotland
ID: 184 | League Two | País: Scotland
ID: 22 | CONCACAF Gold Cup | País: World
ID: 23 | EAFF E-1 Football Championship | País: World
ID: 27 | OFC Champions League | País: World
ID: 925 | Super Cup | País: Czech-Republic
ID: 16 | CONCACAF Champions League | País: World
ID: 17 | AFC Champions League Elite | País: World
ID: 25 | Gulf Cup of Nations | País: World
ID: 26 | International Champions Cup | País: World
ID: 317 | 1st League - RS | País: Bosnia
ID: 316 | 1st League - FBiH | País: Bosnia
ID: 295 | K3 League | País: South-Korea
